State,Government Structure,Year Last Changed
Alabama,Republican trifecta,2011
Alaska,Divided government,2015
Arizona,Republican trifecta,2009
Arkansas,Republican trifecta,2015
California,Democratic trifecta,2011
Colorado,Democratic trifecta,2019
Connecticut,Democratic trifecta,2011
Delaware,Democratic trifecta,2009
Florida,Republican trifecta,2011
Georgia,Republican trifecta,2005
Hawaii,Democratic trifecta,2011
Idaho,Republican trifecta,1995
Illinois,Democratic trifecta,2019
Indiana,Republican trifecta,2011
Iowa,Republican trifecta,2017
Kansas,Divided government,2019
Kentucky,Republican trifecta,2017
Louisiana,Divided government,2016
Maine,Democratic trifecta,2019
Maryland,Divided government,2015
Massachusetts,Divided government,2015
Michigan,Divided government,2019
Minnesota,Divided government,2015
Mississippi,Republican trifecta,2012
Missouri,Republican trifecta,2017
Montana,Divided government,2005
Nebraska,Republican trifecta,1999
Nevada,Democratic trifecta,2019
New Hampshire,Divided government,2019
New Jersey,Democratic trifecta,2018
New Mexico,Democratic trifecta,2019
New York,Democratic trifecta,2019
North Carolina,Divided government,2017
North Dakota,Republican trifecta,1995
Ohio,Republican trifecta,2011
Oklahoma,Republican trifecta,2011
Oregon,Democratic trifecta,2013
Pennsylvania,Divided government,2015
Rhode Island,Democratic trifecta,2013
South Carolina,Republican trifecta,2003
South Dakota,Republican trifecta,1995
Tennessee,Republican trifecta,2011
Texas,Republican trifecta,2003
Utah,Republican trifecta,1985
Vermont,Divided government,2017
Virginia,Divided government,2014
Washington,Democratic trifecta,2017
West Virginia,Republican trifecta,2017
Wisconsin,Divided government,2019
Wyoming,Republican trifecta,2011
